Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Amen Thompson,23,HOU,PG,76,76,2834,18.6,.589,.113,.376,8.9,14.1,11.5,20.3,2.0,1.5,13.4,19.9,6.0,3.6,9.6,.162,1.4,0.9,2.4,3.1,,thompam01
2,Kevin Durant,37,HOU,SF,75,75,2728,21.1,.640,.329,.339,1.6,14.8,8.3,20.8,1.1,2.3,13.6,27.1,7.0,3.1,10.1,.177,4.2,0.1,4.4,4.4,AS,duranke01
3,Desmond Bane,27,ORL,SG,78,78,2659,17.0,.608,.354,.289,3.9,9.9,6.9,19.4,1.4,1.1,10.8,23.4,4.8,2.3,7.1,.128,1.7,-0.4,1.3,2.2,,banede01
4,Mikal Bridges,29,NYK,SF,78,78,2596,15.2,.584,.438,.101,3.2,9.9,6.5,15.9,1.9,2.4,7.7,17.4,4.5,3.2,7.7,.142,1.2,1.3,2.6,3.0,,bridgmi01
5,Jabari Smith Jr.,22,HOU,PF,74,74,2593,13.6,.572,.497,.209,4.6,17.1,11.0,7.5,1.1,2.4,9.1,18.2,3.3,3.1,6.4,.118,-0.5,-0.1,-0.6,0.9,,smithja05
6,Toumani Camara,25,POR,PF,78,78,2590,11.2,.576,.664,.161,5.1,12.0,8.5,10.4,1.6,1.1,13.6,16.2,1.8,2.5,4.3,.080,-1.2,0.0,-1.2,0.6,,camarto01
7,Julius Randle,31,MIN,PF,78,78,2582,18.5,.585,.284,.410,5.7,16.6,11.2,23.3,1.6,0.6,13.3,26.5,4.2,3.2,7.4,.137,1.4,0.0,1.4,2.2,,randlju01
8,Jamal Murray,28,DEN,PG,73,73,2579,21.9,.621,.411,.288,1.5,12.1,7.0,31.7,1.2,1.0,10.0,28.0,7.6,1.7,9.3,.173,5.5,-1.4,4.1,4.0,AS,murraja01
9,Scottie Barnes,24,TOR,PF,76,76,2560,19.0,.573,.203,.264,6.3,19.1,12.7,26.3,2.1,4.2,14.6,23.6,2.8,4.2,7.1,.133,1.6,2.3,3.9,3.8,AS,barnesc01
10,Derrick White,31,BOS,SG,74,74,2535,16.2,.528,.572,.185,3.7,10.6,7.2,22.6,1.7,3.9,10.1,22.3,3.4,3.4,6.8,.129,2.3,1.0,3.3,3.4,,whitede01
11,Tyrese Maxey,25,PHI,PG,66,66,2523,22.2,.590,.400,.282,0.8,11.2,6.0,29.2,2.4,2.0,9.1,29.5,5.8,2.5,8.4,.159,5.1,0.5,5.6,4.8,AS,maxeyty01
12,Nickeil Alexander-Walker,27,ATL,SG,75,68,2493,16.3,.605,.525,.262,2.2,9.3,5.7,16.1,1.9,1.5,10.9,24.0,3.2,2.7,5.9,.113,1.4,-0.4,0.9,1.8,,alexani01
13,Jalen Brunson,29,NYK,PG,71,71,2482,19.9,.579,.360,.288,1.4,9.5,5.4,30.9,1.1,0.3,9.6,30.2,6.2,2.1,8.4,.162,3.9,-1.0,2.9,3.1,AS,brunsja01
14,VJ Edgecombe,20,PHI,SG,71,71,2472,13.9,.543,.410,.178,5.1,12.5,8.7,16.9,2.0,1.4,11.0,20.1,1.8,2.2,4.1,.079,-0.4,-0.2,-0.6,0.9,,edgecvj01
15,Brandon Ingram,28,TOR,SF,73,73,2471,15.8,.567,.276,.270,2.7,16.0,9.3,16.6,1.1,2.1,11.7,26.9,1.0,2.8,3.8,.074,0.7,-0.6,0.1,1.3,AS,ingrabr01
16,Payton Pritchard,28,BOS,PG,76,50,2461,17.0,.582,.513,.128,3.0,10.4,6.7,23.3,1.2,0.4,8.6,21.4,5.7,2.4,8.1,.158,2.4,-0.3,2.1,2.6,,pritcpa01
17,Kon Knueppel,20,CHO,SF,78,77,2455,17.5,.640,.591,.216,4.3,14.7,9.6,16.5,1.1,0.7,11.8,22.3,5.7,2.4,8.1,.158,3.4,-0.3,3.1,3.1,,knuepko01
18,Jalen Johnson,24,ATL,SF,69,69,2432,20.8,.584,.278,.314,4.2,27.8,15.8,34.2,1.7,1.2,14.7,27.0,3.7,3.8,7.5,.148,3.1,1.4,4.5,4.0,AS,johnsja05
19,Dyson Daniels,22,ATL,SG,73,73,2419,15.4,.544,.148,.153,7.6,14.5,11.0,23.8,2.8,1.1,14.2,16.0,2.8,3.5,6.3,.125,-0.6,1.8,1.1,1.9,,daniedy01
20,Donte DiVincenzo,29,MIN,SG,78,78,2406,12.4,.567,.768,.124,3.0,11.6,7.4,16.9,2.0,1.2,12.0,16.8,2.2,2.9,5.1,.102,-0.1,0.9,0.8,1.7,,divindo01
21,DeMar DeRozan,36,SAC,PF,77,77,2406,17.8,.594,.146,.429,1.6,9.1,5.3,20.0,1.6,0.9,7.4,22.8,5.2,0.4,5.6,.111,0.9,-1.0,-0.1,1.1,,derozde01
22,James Harden,36,CLE,PG,24,24,820,19.4,.654,.532,.440,1.6,14.3,8.0,32.5,1.2,1.4,16.8,23.3,2.2,0.7,2.9,.171,4.7,-0.2,4.5,1.3,,hardeja01
23,Jaylen Brown,29,BOS,SF,69,69,2371,22.2,.572,.260,.348,3.8,18.1,11.1,26.5,1.5,1.1,12.5,36.2,3.6,3.3,6.9,.139,3.7,-0.1,3.6,3.3,AS,brownja02
24,Paolo Banchero,23,ORL,PF,68,68,2370,17.5,.564,.241,.511,3.7,23.4,13.4,23.0,0.9,1.5,13.4,27.6,1.7,2.7,4.5,.090,1.2,-0.1,1.1,1.9,,banchpa01
25,Rudy Gobert,33,MIN,C,75,75,2347,17.7,.666,.010,.619,14.1,25.7,20.0,7.2,1.2,4.6,14.4,13.0,4.8,4.0,8.8,.179,0.0,0.9,1.0,1.8,,goberru01
26,Ryan Rollins,23,MIL,PG,73,66,2343,16.2,.584,.442,.149,2.6,13.5,8.1,27.0,2.3,1.3,15.5,24.1,1.7,1.7,3.4,.070,0.6,-0.5,0.2,1.3,,rolliry01
27,Trey Murphy III,25,NOP,SF,66,66,2341,18.3,.613,.538,.234,2.9,14.6,8.7,16.3,2.0,1.0,9.4,22.9,4.5,1.6,6.1,.125,2.9,-0.6,2.3,2.5,,murphtr02
28,Miles Bridges,27,CHO,PF,74,74,2308,16.0,.571,.427,.239,3.5,17.2,10.5,15.8,1.0,1.3,8.6,22.5,3.8,2.4,6.3,.131,1.2,-0.2,1.1,1.8,,bridgmi02
29,Alperen Şengün,23,HOU,C,69,69,2308,21.7,.572,.119,.344,9.9,19.2,14.6,29.1,1.8,3.0,14.7,26.7,4.4,3.5,7.9,.165,2.9,1.5,4.4,3.7,AS,sengual01
