PLAYER_NAME,TEAM_ABBREVIATION,POSITION,MISSING_TEAM_USG,PREV_AVG_MIN,PRED_PTS
Luka Dončić,LAL,PG,37.18177436706302,37.532182163507436,36.948652675924386
Shai Gilgeous-Alexander,OKC,PG,17.10672433673957,33.390713195275936,32.49187292208905
Devin Booker,PHX,SG,29.65398804493872,32.21198287331405,26.773703320996276
Dillon Brooks,PHX,SF,29.65398804493872,32.34073165937028,25.758345978440104
Kevin Durant,HOU,SF,10.2330940799291,35.656252347520805,24.108897285551613
Nikola Jokić,DEN,C,67.83228034307038,36.2866439274357,23.59538718630969
Jaylen Brown,BOS,SF,0.0,36.03816822925703,22.804983643109942
Deni Avdija,POR,SF,49.30602147867776,31.068266581569166,22.61557400407943
Brandon Miller,CHA,SF,0.0,30.81857133770733,22.550370277768994
Jimmy Butler III,GSW,SF,83.43678220670179,31.28076666595491,22.471022378167284
Jalen Duren,DET,C,62.59762779836883,30.38551108771827,22.458855455908132
Jamal Murray,DEN,PG,67.83228034307038,36.955370166989916,22.36539766350832
Brandon Ingram,TOR,SF,19.221655712760796,33.59737095098704,22.076450042526822
Jalen Green,PHX,SG,29.65398804493872,29.8853126441741,21.93441781054422
Paul George,PHI,PF,31.693502140636113,31.957267793103654,21.714592161540896
DeMar DeRozan,SAC,PF,153.16448917109764,31.62051591453959,21.117392845322204
Tyrese Maxey,PHI,PG,31.693502140636113,36.96629380665986,21.00643259155314
Jrue Holiday,POR,PG,49.30602147867776,28.820185317411287,20.805521741102908
Tyler Herro,MIA,SG,25.72224337251657,31.837037347459738,20.534901736056167
Zion Williamson,NOP,PF,13.709002421963397,31.28171565484182,20.425811381312514
Corey Kispert,ATL,SF,16.850201076321216,24.417393030792752,20.37249650053813
Cody Williams,UTA,SG,124.25715472951893,32.139538301250546,20.29714072125887
James Harden,CLE,PG,30.618053421982125,35.46198164534944,20.150875209905855
Gui Santos,GSW,PF,83.43678220670179,31.450859196137984,20.0821869714188
Payton Pritchard,BOS,PG,0.0,32.29462670197396,20.05710955096643
Cooper Flagg,DAL,SF,102.85497521809197,34.32595825902195,20.009727623670013
Paolo Banchero,ORL,PF,19.168850015200327,35.43390664285203,19.821222011558525
Brice Sensabaugh,UTA,SF,124.25715472951893,28.099289281639294,19.6836318520256
Bam Adebayo,MIA,C,25.72224337251657,34.29695917805649,19.61127103932324
LaMelo Ball,CHA,PG,0.0,29.059699458810513,19.329098961827153
Jalen Williams,OKC,SG,17.10672433673957,28.106826157938745,19.306926083694734
Brandin Podziemski,GSW,SG,83.43678220670179,32.615102150941595,19.29713010558671
Kawhi Leonard,LAC,SF,30.664131383611533,29.885585403431463,19.221637460366313
Jalen Johnson,ATL,SF,16.850201076321216,36.58390556027831,19.204253106862645
LeBron James,LAL,SF,37.18177436706302,35.07253196288612,18.974068040519995
RJ Barrett,TOR,SF,19.221655712760796,29.876444466004774,18.891832959492223
Desmond Bane,ORL,SG,19.168850015200327,33.522164403380316,18.80124710869753
Collin Sexton,CHI,SG,135.14127642451837,28.413630921912326,18.724046190525623
Kristaps Porziņģis,GSW,C,83.43678220670179,25.442759595253676,18.460115511542913
Matas Buzelis,CHI,PF,135.14127642451837,32.51875342339335,18.24642092756269
Daniel Gafford,DAL,C,102.85497521809197,25.353083679474977,18.214972688040067
Coby White,CHA,SG,0.0,26.695404088303107,18.11813411362195
Naji Marshall,DAL,SF,102.85497521809197,30.693529361866965,18.106637497472548
Leonard Miller,CHI,SF,135.14127642451837,26.6663987140866,18.050802642904973
Amen Thompson,HOU,PG,10.2330940799291,38.181922583757135,18.02514409723525
Donovan Mitchell,CLE,SG,30.618053421982125,33.69064026169602,18.001608555292215
Miles Bridges,CHA,PF,0.0,29.20221707766963,17.99616444000716
Kyle Kuzma,MIL,SF,140.23922571189343,27.536421360223343,17.747577752282705
Nick Smith Jr.,LAL,SG,37.18177436706302,24.292055110058637,17.71573632207365
