OPPONENT_ID,POSITION,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTA,FTM,TOV,STL,BLK,OPP_MIN,eFG_PCT,TS_PCT,FTr,L5_PTS,L5_REB,L5_AST,TEAM_PTS,TEAM_REB,TEAM_AST,TEAM_ID,PACE,DEF_RTG,TEAM,PTS_RANK,REB_RANK,AST_RANK,FG3M_RANK,FG3A_RANK,STL_RANK,BLK_RANK,eFG_RANK,TS_RANK,FTr_RANK,PACE_RANK,DEF_RTG_RANK,TOV_RANK
1610612737,C,13.36,8.69,2.49,5.08,9.24,0.58,2.09,3.56,2.62,1.7,0.72,0.74,27.38,58.12,61.85,0.38,14.4,7.8,1.8,14.98,7.44,3.02,1610612737,104.14,111.57,ATL,22.0,10.0,18.0,29.0,25.0,26.0,30.0,17.0,16.0,6.0,5.0,21.0,24.0
1610612737,PF,14.16,5.98,2.67,4.94,10.72,1.58,4.35,3.43,2.7,1.55,1.01,0.71,28.6,53.43,57.89,0.32,11.8,4.4,1.7,9.6,5.6,1.69,1610612737,104.14,111.57,ATL,18.0,10.0,13.0,9.0,11.0,8.0,10.0,24.0,23.0,7.0,5.0,21.0,15.0
1610612737,PG,15.97,4.55,6.15,5.86,12.95,1.79,5.18,3.05,2.45,2.51,1.27,0.46,29.8,52.21,55.87,0.24,19.67,4.67,4.33,15.38,2.19,7.62,1610612737,104.14,111.57,ATL,23.0,4.0,2.0,26.0,23.0,8.0,4.0,21.0,25.0,26.0,5.0,21.0,28.0
1610612737,SF,17.0,4.99,2.94,6.19,12.86,2.08,5.43,3.1,2.54,1.88,1.08,0.48,29.5,56.25,59.78,0.24,18.0,4.67,4.0,17.47,7.1,4.8,1610612737,104.14,111.57,ATL,2.0,16.0,19.0,4.0,4.0,11.0,12.0,7.0,9.0,22.0,5.0,21.0,24.0
1610612737,SG,13.76,3.6,2.85,4.91,10.69,1.99,5.28,2.33,1.95,1.88,1.08,0.4,28.73,55.22,58.7,0.22,7.97,3.1,3.1,15.81,4.4,4.29,1610612737,104.14,111.57,ATL,16.0,22.0,25.0,13.0,16.0,13.0,7.0,11.0,12.0,20.0,5.0,21.0,29.0
1610612738,C,13.64,7.76,2.12,5.0,10.18,1.32,3.25,3.09,2.32,1.6,0.65,0.9,28.09,55.62,59.12,0.3,14.8,6.6,1.6,10.98,8.22,1.77,1610612738,97.52,109.69,BOS,17.0,29.0,28.0,1.0,1.0,30.0,26.0,27.0,27.0,22.0,30.0,27.0,15.0
1610612738,PF,13.01,5.38,2.37,4.74,10.67,1.53,4.52,2.57,1.99,1.21,0.78,0.53,28.71,51.63,55.11,0.24,12.25,5.88,2.62,10.08,4.97,1.49,1610612738,97.52,109.69,BOS,29.0,25.0,28.0,14.0,8.0,27.0,28.0,29.0,30.0,27.0,30.0,27.0,1.0
1610612738,PG,15.36,3.95,5.79,5.28,12.32,2.13,5.54,3.31,2.67,2.03,0.93,0.29,29.71,51.51,55.75,0.27,15.67,2.33,5.0,16.86,3.97,5.11,1610612738,97.52,109.69,BOS,25.0,20.0,17.0,6.0,13.0,27.0,24.0,27.0,27.0,14.0,30.0,27.0,7.0
1610612738,SF,14.57,5.27,2.54,5.19,11.4,2.02,5.16,2.79,2.17,1.45,0.61,0.34,29.82,54.39,57.7,0.24,15.8,6.3,3.3,24.56,6.8,4.26,1610612738,97.52,109.69,BOS,28.0,7.0,30.0,7.0,12.0,30.0,28.0,22.0,25.0,22.0,30.0,27.0,3.0
1610612738,SG,12.39,3.55,2.93,4.39,10.31,1.83,5.42,2.24,1.78,1.2,0.78,0.37,28.12,51.46,54.86,0.22,15.27,2.27,4.43,14.62,4.24,4.0,1610612738,97.52,109.69,BOS,30.0,25.0,21.0,23.0,9.0,30.0,12.0,28.0,30.0,20.0,30.0,27.0,2.0
1610612739,C,13.38,8.95,2.44,5.02,9.55,0.92,2.45,3.24,2.41,1.77,1.05,1.13,28.04,57.4,60.94,0.34,17.0,9.5,2.25,16.68,8.68,2.82,1610612739,102.51,112.49,CLE,21.0,5.0,20.0,10.0,16.0,2.0,16.0,21.0,20.0,11.0,14.0,16.0,26.0
1610612739,PF,14.86,5.96,2.7,5.27,11.04,1.57,4.32,3.66,2.74,1.45,0.88,0.63,29.17,54.88,58.71,0.33,15.5,7.0,3.67,7.48,4.47,1.69,1610612739,102.51,112.49,CLE,8.0,12.0,10.0,11.0,12.0,23.0,17.0,20.0,17.0,6.0,14.0,16.0,9.0
1610612739,PG,15.91,4.03,5.96,5.59,12.55,2.0,5.32,3.17,2.72,2.13,1.19,0.37,29.39,52.52,57.03,0.25,16.0,5.0,5.75,12.13,3.94,5.84,1610612739,102.51,112.49,CLE,24.0,18.0,11.0,17.0,18.0,14.0,12.0,17.0,18.0,24.0,14.0,16.0,10.0
1610612739,SF,15.38,4.63,3.23,5.49,11.65,1.99,5.2,3.0,2.42,1.89,1.12,0.38,29.55,55.61,59.28,0.26,17.5,3.33,4.67,14.76,4.39,2.12,1610612739,102.51,112.49,CLE,19.0,27.0,9.0,8.0,9.0,4.0,22.0,11.0,11.0,15.0,14.0,16.0,25.0
1610612739,SG,14.1,3.61,2.94,4.95,10.62,2.11,5.35,2.49,2.08,1.46,1.03,0.29,29.26,56.56,60.15,0.23,12.0,4.1,2.8,18.2,4.18,3.51,1610612739,102.51,112.49,CLE,8.0,19.0,19.0,7.0,12.0,17.0,26.0,3.0,4.0,16.0,14.0,16.0,13.0
1610612740,C,14.66,9.06,2.59,5.76,10.57,0.81,2.57,3.17,2.34,1.44,0.87,1.64,28.02,58.26,61.26,0.3,17.27,9.0,2.97,10.86,7.59,3.19,1610612740,102.81,115.78,NOP,7.0,2.0,13.0,15.0,8.0,13.0,1.0,16.0,17.0,22.0,12.0,8.0,7.0
1610612740,PF,13.67,6.12,2.7,5.05,11.08,1.6,4.8,2.43,1.96,1.52,0.92,0.85,29.22,52.86,56.27,0.22,20.1,6.8,5.2,19.26,5.64,3.04,1610612740,102.81,115.78,NOP,26.0,4.0,10.0,7.0,4.0,20.0,3.0,26.0,27.0,30.0,12.0,8.0,13.0
1610612740,PG,16.22,3.94,6.11,5.59,12.35,1.99,5.62,3.69,3.05,2.48,1.18,0.31,30.01,53.3,58.02,0.3,11.7,4.2,5.6,13.78,3.32,3.65,1610612740,102.81,115.78,NOP,22.0,21.0,5.0,18.0,9.0,17.0,21.0,15.0,14.0,7.0,12.0,8.0,26.0
1610612740,SF,15.86,5.19,3.27,5.68,11.71,1.87,5.28,3.48,2.63,1.59,1.04,0.55,29.74,56.5,59.92,0.3,14.88,5.12,3.75,16.88,5.08,3.08,1610612740,102.81,115.78,NOP,12.0,11.0,7.0,18.0,7.0,16.0,2.0,6.0,7.0,4.0,12.0,8.0,9.0
1610612740,SG,15.47,3.78,3.18,5.43,11.36,2.23,5.95,2.91,2.38,1.53,0.88,0.39,28.73,57.62,61.2,0.26,16.8,3.6,3.1,9.46,2.78,2.04,1610612740,102.81,115.78,NOP,1.0,8.0,12.0,3.0,1.0,28.0,9.0,1.0,1.0,1.0,12.0,8.0,17.0
1610612741,C,16.24,8.52,2.99,6.24,10.99,1.23,2.75,3.42,2.54,1.23,1.02,1.49,28.2,62.34,64.97,0.31,24.0,11.67,1.67,13.64,8.23,2.42,1610612741,105.03,115.66,CHI,2.0,14.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,20.0,2.0,9.0,2.0
1610612741,PF,17.3,6.02,2.75,6.4,12.28,1.96,4.49,3.22,2.54,1.33,0.93,0.66,29.3,60.11,63.18,0.26,19.33,6.0,3.17,14.23,4.97,2.05,1610612741,105.03,115.66,CHI,1.0,6.0,6.0,1.0,9.0,19.0,15.0,1.0,1.0,23.0,2.0,9.0,2.0
1610612741,PG,16.77,3.93,6.07,6.02,13.57,2.05,5.7,3.21,2.67,1.96,1.17,0.32,29.59,51.92,55.93,0.24,13.83,3.67,6.67,14.65,5.21,6.61,1610612741,105.03,115.66,CHI,14.0,22.0,6.0,10.0,7.0,19.0,18.0,23.0,24.0,26.0,2.0,9.0,2.0
1610612741,SF,16.68,5.46,3.29,6.06,12.67,1.94,5.09,3.24,2.61,1.74,1.05,0.49,29.78,55.52,59.17,0.26,10.83,5.0,2.17,12.56,4.98,2.4,1610612741,105.03,115.66,CHI,7.0,3.0,6.0,10.0,16.0,14.0,10.0,12.0,12.0,15.0,2.0,9.0,20.0
